Genres,Popularity
piano rock,80
pop,80
pop,79
post-teen pop,79
pop,76
viral pop,76
pop,100
dance pop,75
pop,75
dutch edm,72
edm,72
pop,72
pop dance,72
progressive house,72
pop,82
dance pop,78
edm,78
pop,78
pop dance,78
pop,84
singer-songwriter pop,84
uk pop,84
canadian pop,79
pop,79
viral pop,79
big room,85
dance pop,85
edm,85
pop,85
pop dance,85
pop,78
talent show,78
uk pop,78
modern rock,84
pop,84
rock,84
pop,64
pop,82
filmi,84
indian instrumental,84
modern bollywood,84
alt z,69
gen z singer-songwriter,69
edm,77
pop,77
pop dance,77
tropical house,77
dance pop,85
pop,85
uk pop,85
bedroom soul,63
garage rock,83
modern rock,83
permanent wave,83
rock,83
sheffield indie,83
indie rockism,54
art pop,82
dance pop,82
pop,82
dance pop,78
pop,78
permanent wave,84
pop,84
latin hip hop,83
reggaeton,83
trap latino,83
urbano latino,83
filmi,71
modern bollywood,71
art pop,86
pop,86
brostep,80
edm,80
pop,80
progressive electro house,80
pop,86
dutch pop,63
british soul,81
pop,81
pop soul,81
uk pop,81
neo mellow,71
piano rock,71
pop rock,71
australian dance,81
australian pop,81
pop,81
desi pop,74
filmi,74
modern bollywood,74
celtic rock,71
pop,71
pop,77
barbadian pop,87
pop,87
urban contemporary,87
pop,81
japanese old school hip hop,54
hindi indie,58
indian indie,58
indian rock,58
new delhi indie,58
boy band,81
pop,81
post-teen pop,81
talent show,81
dance pop,78
pop,78
chill r&b,48
classic texas country,53
red dirt,53
indietronica,76
metropopolis,76
pop,76
uk pop,76
dance pop,83
edm,83
electro house,83
house,83
pop,83
pop dance,83
progressive house,83
uk dance,83
electro house,77
canadian pop,86
pop,86
canadian contemporary r&b,92
canadian pop,92
pop,92
